shape_file_name_3,gdp_german_counties_county_name
Leipzig Städte,"Leipzig, kreisfreie Stadt"
Leipziger Land,"Leipzig, Landkreis"
Leverkusen Städte,"Leverkusen, kreisfreie Stadt"
Lichtenfels,"Lichtenfels, Landkreis"
Limburg-Weilburg,"Limburg-Weilburg, Landkreis"
Lindau,"Lindau (Bodensee), Landkreis"
Lippe,"Lippe, Kreis"
Löbau-Zittau,"Löbau-Zittau, Landkreis"
Lörrach,"Lörrach, Landkreis"
Lübeck Städte,"Lübeck, Hansestadt, kreisfreie Stadt"
Lüchow-Dannenberg,"Lüchow-Dannenberg, Landkreis"
Ludwigsburg,"Ludwigsburg, Landkreis"
Ludwigshafen Städte,"Ludwigshafen am Rhein, kreisfreie Stadt"
Ludwigslust,
Lüneburg,"Lüneburg, Landkreis"
Magdeburg Städte,"Magdeburg, kreisfreie Stadt"
Main-Kinzig-Kreis,Main-Kinzig-Kreis
Main-Spessart,"Main-Spessart, Landkreis"
Main-Tauber,"Main-Tauber-Kreis, Landkreis"
Main-Taunus-Kreis Städte,Main-Taunus-Kreis
Mainz Städte,"Mainz, kreisfreie Stadt"
Mainz-Bingen,"Mainz-Bingen, Landkreis"
Mannheim Städte,"Mannheim, Stadtkreis"
Mansfelder Land,"Mansfelder Land, Kreis"
Marburg-Biedenkopf,"Marburg-Biedenkopf, Landkreis"
Märkischer Kreis,Märkischer Kreis
Märkisch-Oderland,"Märkisch-Oderland, Landkreis"
Mayen-Koblenz,"Mayen-Koblenz, Landkreis"
Mecklenburg-Strelitz,"Mecklenburg-Strelitz, Landkreis"
Meißen,"Meißen, Landkreis"
Memmingen Städte,Memmingen
Merseburg-Querfurt,"Merseburg-Querfurt, Kreis"
Merzig-Wadern,"Merzig-Wadern, Landkreis"
Mettmann,"Mettmann, Kreis"
Miesbach,"Miesbach, Landkreis"
Miltenberg,"Miltenberg, Landkreis"
Minden-Lübbecke,"Minden-Lübbecke, Kreis"
Mittlerer Erzgebirgskreis,Mittlerer Erzgebirgskreis
Mittweida,"Mittweida, Landkreis"
Mönchengladbach Städte,"Mönchengladbach, kreisfreie Stadt"
Mühldorf,"Mühldorf a.Inn, Landkreis"
Muldentalkreis,Muldentalkreis
Mülheim Städte,"Mülheim an der Ruhr, kreisfreie Stadt"
München,"München, Landeshauptstadt"
Munich Städte,"München, Landkreis"
Münster Städte,"Münster, kreisfreie Stadt"
Müritz,
Neckar-Odenwald-Kreis,"Neckar-Odenwald-Kreis, Landkreis"
Neubrandenburg Städte,"Neubrandenburg, Stadt, kreisfreie Stadt"
Neuburg-Schrobenhausen,"Neuburg-Schrobenhausen, Landkreis"
Neumarkt,"Neumarkt i.d.OPf., Landkreis"
Neumünster Städte,"Neumünster, kreisfreie Stadt"
Neunkirchen,"Neunkirchen, Landkreis"
Neustadt,"Neustadt a.d.Aisch-Bad Windsheim, Landkreis"
Neustadt Städte,"Neustadt a.d.Waldnaab, Landkreis"
Neustadt-Bad Windsheim,"Neustadt an der Weinstraße, kreisfreie Stadt"
Neu-Ulm,"Neu-Ulm, Landkreis"
Neuwied,"Neuwied, Landkreis"
Niederschlesischer Oberlausitzkreis,Niederschlesischer Oberlausitzkreis
Nienburg,"Nienburg (Weser), Landkreis"
Nordfriesland,"Nordfriesland, Landkreis"
Nordhausen,"Nordhausen, Kreis"
Nordvorpommern,"Nordvorpommern, Landkreis"
Nordwestmecklenburg,
Northeim,"Northeim, Landkreis"
Nuremberg Städte,Nürnberg
Nürnberger Land,"Nürnberger Land, Landkreis"
Oberallgäu,"Oberallgäu, Landkreis"
Oberbergischer Kreis,Oberbergischer Kreis
Oberhausen Städte,"Oberhausen, kreisfreie Stadt"
Oberhavel,"Oberhavel, Landkreis"
Oberspreewald-Lausitz,"Oberspreewald-Lausitz, Landkreis"
Odenwaldkreis,Odenwaldkreis
Oder-Spree,"Oder-Spree, Landkreis"
Offenbach,"Offenbach am Main, kreisfreie Stadt"
Offenbach am Main Städte,"Offenbach, Landkreis"
Ohrekreis,Ohrekreis
Oldenburg,"Oldenburg (Oldenburg), kreisfreie Stadt"
Oldenburg Städte,"Oldenburg, Landkreis"
Olpe,"Olpe, Kreis"
Ortenaukreis,"Ortenaukreis, Landkreis"
Osnabrück,"Osnabrück, kreisfreie Stadt"
Osnabrück Städte,"Osnabrück, Landkreis"
Ostalbkreis,"Ostalbkreis, Landkreis"
Ostallgäu,"Ostallgäu, Landkreis"
Osterholz,"Osterholz, Landkreis"
Osterode,"Osterode am Harz, Landkreis"
Ostholstein,"Ostholstein, Landkreis"
Ostprignitz-Ruppin,"Ostprignitz-Ruppin, Landkreis"
Ostvorpommern,"Ostvorpommern, Landkreis"
Paderborn,"Paderborn, Kreis"
Parchim,
Passau,Passau
Passau Städte,"Passau, Landkreis"
Peine,"Peine, Landkreis"
Pfaffenhofen,"Pfaffenhofen a.d.Ilm, Landkreis"
Pforzheim Städte,"Pforzheim, Stadtkreis"
Pinneberg,"Pinneberg, Landkreis"
Plauen Städte,
Plön,"Plön, Landkreis"
Potsdam Städte,"Potsdam, kreisfreie Stadt"
Potsdam-Mittelmark,"Potsdam-Mittelmark, Landkreis"
Prignitz,"Prignitz, Landkreis"
Quedlinburg,"Quedlinburg, Kreis"
Rastatt,"Rastatt, Landkreis"
Ravensburg,"Ravensburg, Landkreis"
Recklinghausen,"Recklinghausen, Kreis"
Regen,"Regen, Landkreis"
Regensburg,Regensburg
Regensburg Städte,"Regensburg, Landkreis"
Remscheid Städte,"Remscheid, kreisfreie Stadt"
Rems-Murr-Kreis,"Rems-Murr-Kreis, Landkreis"
Rendsburg-Eckernförde,"Rendsburg-Eckernförde, Landkreis"
Reutlingen,"Reutlingen, Landkreis"
Rhein-Erft-Kreis,Rhein-Erft-Kreis
Rheingau-Taunus-Kreis,Rheingau-Taunus-Kreis
Rhein-Hunsrück,Rhein-Hunsrück-Kreis
Rheinisch-Bergischer Kreis,Rheinisch-Bergischer Kreis
Rhein-Kreis Neuss,Rhein-Kreis Neuss
Rhein-Lahn,Rhein-Lahn-Kreis
Rhein-Neckar-Kreis,"Rhein-Neckar-Kreis, Landkreis"
Rhein-Pfalz-Kreis,Rhein-Pfalz-Kreis
Rhein-Sieg,Rhein-Sieg-Kreis
Rhön-Grabfeld,"Rhön-Grabfeld, Landkreis"
